CID,Melting Point
34,-67.5 °C
34,-67 °C
34,-90°F
9740,"151 °F (USCG, 1999)"
9740,66.0 °C
9740,66 °C
13165,"-76 °F (USCG, 1999)"
13165,-60.2 °C
6572,"-40 °F (EPA, 1998)"
6572,-40.0 °C
6572,-40 °C
8258,"36.7 °F (USCG, 1999)"
8258,3.0 °C
8258,2.6 °C
6385,"-89.5 °F (NTP, 1992)"
6385,-72.65 °C
6386,"77.9 °F (NTP, 1992)"
6386,25.4 °C
6386,25.81 °C
6386,25.4°C
6386,25 °C
6386,78°F
7975,"-94 °F (NTP, 1992)"
7975,-66.7 °C
7975,-66.65 °C
7975,-70 °C
1567,"-148 °F (NTP, 1992)"
1567,< 25 °C
31374,"-4 °F (NTP, 1992)"
31374,-20.0 °C
31374,-18.59 °C
31374,-20 °C
31374,-4°F
8021,"-58 °F (NTP, 1992)"
8021,-50.0 °C
8021,-50 °C
8021,-50°C
8021,-58°F
6582,28.0 °C
6582,28 °C
9033,"-98 °F Freezing Point (EPA, 1998)"
9033,-77.9 °C
9033,Freezing point: -71.5 °C
9033,-74 °C
9033,-97°F
11429,-50 °C
11429,-114 °C
7965,"0.1 °F (EPA, 1998)"
7965,-17.7 °C
7965,-18°C
7965,0.1°F
7965,0°F
69828,-35.4 °C
65578,-16.0 °C
713,"36.5 °F (NTP, 1992)"
713,2.55 °C
713,2.55°C
713,2.5 °C
713,37°F
6395,20.0 °C
6395,20 °C
6061,"-62.3 °F (EPA, 1998)"
6061,-52.4 °C
6061,-62.3°F
6061,-62°F
10953,-12.5 °C
8105,-18.0 °C
8105,-18 °C
6567,"-35 °F (NTP, 1992)"
6567,-12 °C
1032,"-6.7 °F (NTP, 1992)"
1032,-20.7 °C
1032,-21.5 °C
1032,-20.7°C
1032,-21 °C
1032,-6.7°F
1032,5°F
23681045,Decomposes at 165-200 °C
23138861,-15.4°C
6422,-15.2 °C
6422,-15.4 °C
6422,-15.4°C
6422,-15 °C
14264,"86 °F (NIOSH, 2016)"
14264,31.5 °C
14264,31 °C
14264,86°F
8474,"Decomposes without melting (NTP, 1992)"
61247,-80 °C
61247,-112°F
517111,58 °C (decomposes)
69591,149.3 °C
241,"41.9 °F (NTP, 1992)"
241,5.5 °C
241,5.558 °C
241,5.5°C
241,6 °C
241,41.9°F
241,42°F
93419,64.0 °C
8846,"-84.3 °F (NTP, 1992)"
8846,-64.6 °C
8846,-64 °C
8846,-83°F
34665,"266 °F (Decomposes) (NTP, 1992)"
7062,"149 to 172 °F (NTP, 1992)"
7062,78.0 °C
4510,"56 °F (NIOSH, 2016)"
4510,13.5 °C
4510,"Crystalizes in 2 forms: labile form, 2.8 °C; stable form, 13.5 °C"
4510,13.5°C
4510,56°F
82027,35.0 °C
10008,"-42.2 °F (NTP, 1992)"
10008,-42.2 °C
83367,34.5 °C
7276,"-35 °F (NTP, 1992)"
7276,-35.6 °C
7276,-36.7 °C
7276,-35°F
6517,"-121.9 °F (USCG, 1999)"
6517,-82.5 °C
6517,-77 °C
6517,-117°F
6996,"54.3 °F (NTP, 1992)"
6996,12.4 °C
6996,11.9 °C
6984,"54 °F (NTP, 1992)"
6984,16.0 °C
6984,14 °C
6984,57°F
6984,61°F
224478,848.2 °C
7072,71.0 °C
637759,41.75 °C
637759,41.5°C
3465817,"260 to 262 °F (NTP, 1992)"
7005,95.0 °C
7005,96 °C
7005,94.00to95.00°C.@760.00mmHg
11844,24.0 °C
11844,24 °C
7260,26.0 °C
7260,26 °C
66347,149-150°C
7590,-29.4 °C
7590,-29.4°C
948,"-131.5 °F (USCG, 1999)"
948,"-132 °F (NIOSH, 2016)"
948,-90.8 °C
948,-90.6°C
948,132°F
948,-132°F
12971,-61.0 °C
12971,-61 °C
13129,-101.0 °C
13129,-103.296 °C
13129,-101 °C
14802,"1463 °F (NTP, 1992)"
14802,795 °C
6923,-6.8 °C
6563,-140.0 °C
7720,"-105 °F (NTP, 1992)"
7720,-70.0 °C
7720,-70 °C
7720,-76.00°C.@760.00mmHg
7720,-105°F
76720,342.0 °C
76720,342°C
5765,169.0 °C
7156,105.0 °C
68067,66.5 °C
7845,"-164 °F (NTP, 1992)"
7845,-108.9 °C
7845,-108.966 °C
7845,-108.9°C
7845,-109 °C
7845,-164°F
61789,Decomposes at 235 °C
31241,less than -100 °C
31241,-85 °C
69144,-1.3 °C
7393,"214 °F (NTP, 1992)"
7393,98.0 °C
7393,98 °C
7393,99°C
7393,214°F
17073,-52 °C
7392,48.5 °C
10049,209.33333333329998 °C
10049,202 °C
10049,Hexanogal plates from petroleum ether; melting point: 204 °C; boiling   point: 210 °C at 779 mm Hg /L-Borneol/
10049,216 °C
10049,"Crystals from petroleum ether. sublimes on heating, MP: 212 °C (in a sealed tube). Practically insoluble in water. Readily soluble in alcohol, ether, chloroform /dl-Isoborneol/"
10049,Crystals from petroleum ether. MP: 214 °C. Approx optical rotation: +34.3 deg in alcohol solution /d-Isoborneol/
10049,Crystals from petroleum ether. MP: 214 °C; Approx optical rotation -34.3 deg in alcohol solution /l-Isoborneol/
7257,"162 °F (NTP, 1992)"
7257,72.0 °C
7257,71-72 °C
7257,72 °C
8836,-47.0 °C
8836,-47 °C
7731,-32.0 °C
7731,-32 °C
7731,-32°C
7017,"131.9 to 135.5 °F (NTP, 1992)"
7017,59.0 °C
7017,59 °C
7017,56°C
7017,58-60 °C
6049,245 °C
6049,MP: 240-241 °C (decomposes). The free acid tends to carboxylate when heated to temps of 150 °C. Stable on storage and on boiling in aqueous solution.
6049,MP: 242 °C /EDTA disodium dihydrate/
8549,177 °C (some decomposition)
8549,"Microcrystalline powder; mp: 57 °C; efflorescent; loses one water molecule in air, two water molecules over sulfuric acid; anhydrous at 125 °C /Quinine trihydrate/"
441074,"331 to 336 °F (NTP, 1992)"
441074,174-175 °C after drying of solvated crystals
441074,Prisms from dilute alcohol; loses one-half water in air; MP: about 168 °C /Hemipentahydrate/
441074,"Crystals from water; mp: 248 °C (dry); readily soluble in hot water, alcohol. /Quinidine methiodide monohydrate/"
441074,174°C
8108,-92.0 °C
8108,-92 °C
6945,"90 to 91 °F (NTP, 1992)"
6945,32.5 °C
6945,32 °C
6945,33 °C
7961,"-24 °F (NTP, 1992)"
7961,-30.6 °C
7961,-30.6 °C (SOLIDIFIES)
7961,-30.7 °C
16693908,"1832 °F (NIOSH, 2016)"
16693908,960-1027 °C
16693908,Melting point: 1009-1012 °C; heat of formation: -3297 kJ/mol; heat of fusion: 225 kJ/mol at 1012 °C; refractive index: 1.339; vapor pressure: 253 Pa at 1000 °C. /from table/
16693908,1009 °C
16693908,1832°F
7473,"130.1 °F (NTP, 1992)"
7473,51.6 °C
7473,51.7 °C
7473,53-54 °C
7473,126°F
7136,30.5 °C
7136,30-31°C
10553,-133.7 °C
10553,-133.61 °C
7354,"less than -58 °F (NTP, 1992)"
7354,-75.0 °C
7354,freezing point: less than -75 °C
7354,-50 °C
30231,"313 to 313 °F (NTP, 1992)"
18938,-70 °C
11900,41.0 °C
7964,"-49 °F (NTP, 1992)"
7964,-45.2 °C
7964,-45.2°C
7964,-45 °C
7964,-50°F
31187,91.0 °C
23558,94-100 °C /OECD Guideline 102/
33919,">300, decomposes at 410"
16720,"374 °F (NTP, 1992)"
16720,190.0 °C
16720,190 °C
16720,187 °C
17379,-58.1 °C
90454,237.75 °C
13512,-78.2 °C
5271569,-85.0 °C
67678,260.5°C
6992103,260.5°C
8079,"-154 °F (NIOSH, 2016)"
8079,-103.5 °C
8079,-104 °C
8079,-154°F
8004,"-265 °F (USCG, 1999)"
8004,-165.2 °C
9275,"less than -76 °F (USCG, 1999)"
9275,-50.0 °C
9275,-50 °C
7648,124.5 °C
7648,125 °C
83700,139.0 °C
15884,22.3 °C
8186,-4.0 °C
8186,-4°C
9481,-12.5 °C
9481,-13 to -12 °C
6554,"-169.4 °F (USCG, 1999)"
6554,-112.0 °C
6554,-112 °C
7810,7.5 °C
18273,-80.0 °C
11741,171.5 °C
8926,"115.2 °F (NTP, 1992)"
8926,46.8 °C
15793,"120 to 126 °F (NTP, 1992)"
15793,52.9 °C
15793,49-52°C
12064,65.4 °C
12064,64.5 °C
15290,"-181 °F (NIOSH, 2016)"
15290,-118 °C
15290,-181°F
10791,Decomposes
17358,"-83 °F (Sublimes) (NIOSH, 2016)"
17358,-50.8 °C
17358,-51 °C
17358,-83°F (sublimes)
17358,-83°F (Sublimes)
14828,1194 °C
6492,"92.5 °F (NTP, 1992)"
6492,15.5 °C
6492,32.9 °C
6492,32-34 °C
6492,92.5°F
6492,90°F
638079,-12.0 °C
5455,"311 to 313 °F (NTP, 1992)"
5455,155.6 °C
5455,155-156 °C
5455,MP: 146 °C /Commercial grade/
5455,312°F
91756,194.0 °C
10112,"1517 to 2442 °F (Decomposes) (NIOSH, 2016)"
10112,1517-2442°F (decomposes)
10112,1517-2442°F
10112,1517-2442°F (Decomposes)
7791,-60.0 °C
7543,"210 to 225 °F (NTP, 1992)"
7543,110.0 °C
7543,110 °C
7543,210-225°F
7543,230°F
8058,"-139 °F (NTP, 1992)"
8058,-95.3 °C
8058,-95.35 °C
8058,-93.5°C
8058,-95 °C
8058,-219°F
12449,"210 °C, decomposes."
11726,Decomposes >200 °C
7013,"144 °F (NTP, 1992)"
7013,62.0 °C
7013,61 °C
7013,62-63 °C
7013,144°F
14805,"3603 °F (NTP, 1992)"
14805,1955 °C
8722,"482 °F (NTP, 1992)"
8722,246 °C
8722,MP: 250 °C (crystals); 148 °C (dust).
8722,MP: 240-244 °C /Technical/
8722,240-250 °C
3485262,"482 °F (NTP, 1992)"
3485262,246 °C
3485262,MP: 250 °C (crystals); 148 °C (dust).
3485262,MP: 240-244 °C /Technical/
3485262,240-250 °C
14940,1840 °C
23930,"2271 °F (NIOSH, 2016)"
23930,1246 °C
23930,Alpha is stable below approx 710 °C; beta is stable between 710-1079 °C; gamma is stable between 1079-1143 °C; delta is stable between 1143 °C and its melting point.
23930,1244 °C
23930,2271°F
8433,70.5 °C
14829,1326 °C
24877,Decomposes
23956,"5425 °F (NIOSH, 2016)"
23956,2996 °C
23956,5425°F
8569,68.0 °C
8569,68 °C
8569,MP: 70.6-77.2 °C
24518,"97 °F (USCG, 1999)"
24518,-18 °C /hydrate/
24518,~110 °C
6503,171-172 °C
1317,62.5 °C
167560,"450 °F (Decomposes) (NTP, 1992)"
6378,"-169.83 °F (EPA, 1998)"
6378,-111.9 °C
6378,-112.13 °C
6378,-111.9°C
6378,-112 °C
6378,-170°F
59130030,-111.9°C
259,-7.25°C
7360,Less than -80 °C
7360,<-80°C
31261,"-10.3 °F (USCG, 1999)"
31261,-23.0 °C
31261,-23 °C
31261,-23°C
31261,-10.3°F
7943,-61.9 °C
8200,"24.8 °F (USCG, 1999)"
8200,-6.2 °C
8200,-9.4 °C
887,"-144 °F (NTP, 1992)"
887,-97.6 °C
887,-97.8 °C
887,-97.6°C
887,-98 °C
887,-144°F
31347,"79 °F (USCG, 1999)"
31347,27.6 °C
31347,27.4-27.8 °C
13360,FP: -12 °C
8158,12.3 °C
8158,12.4 °C
8158,12.3°C
22833473,"1454 °F (NTP, 1992)"
22833473,787 °C
22833473,790 °C
7105,74.0 °C
8282,37.5 °C
17142,"203 to 208 °F (NTP, 1992)"
17142,95 °C
17142,MP: 203 to 208 °F
17142,Crystals from methanol. MP: 103-104.5 °C. Also reported as crystals from frational crystalization from methanol. MP: 95-103 °C. Enthalpy of fusion: 77.0 J/g /alpha-thioglycidyl isocyanurate/
17142,203-208°F
6410,"18 °F (NTP, 1992)"
6410,-8.0 °C
6410,-8 °C
6410,MP: 6 °C
6410,-3 °C
24821,55 °C
6514,18.0 °C
6514,16.8 °C
6514,16.8°C
9864,"113 °F (NIOSH, 2016)"
9864,44.0 °C
9864,45-46 °C
9864,44 °C
9864,113°F
8478,"327 to 331 °F (NTP, 1992)"
8478,164-166 °C (HOT STAGE)
8478,EUTECTIC TEMP: PHENANTHRENE 86 °C; BENZANTHRENE 98 °C
8478,160-165 °C
131204,<25°C
24730,"113 °F (NTP, 1992)"
24730,45.0 °C
24730,45 °C
2723816,210 °C
4068533,>300 °C
3698251,75-80°C
757,79.5 °C
757,"78-80 °C (alpha-modification); 63 °C (beta-modification, metastable)"
757,MP: 79.5 °C
757,75-80°C
757,80 °C
81762,126.0 °C
7915,"-100.1 °F (NTP, 1992)"
7915,-73.4 °C
7915,-73.4°C
7915,-73 °C
7915,-100.1°F
7915,-92°F
17409,"Decomposes at approximately 581° F (NTP, 1992)"
12597,75.25 °C
12597,61-64 °C
68315,143°F
7993,"less than -94 °F (NTP, 1992)"
7993,-60.0 °C
7993,FP: -70 °C
1390,-6.0 °C
8189,"-49 °F (NTP, 1992)"
8189,-45.0 °C
8189,-45 °C
110862,"-121 °F (NTP, 1992)"
110862,-88.0 °C
110862,FREEZING POINT: -85 °C
970,161°C
15073,36.5 °C
15543,14.5 °C
6379,420 °C (decomposes)
6379,MP: Decomposes
6379,MP: >300 °C
31254,"-40 °F (NTP, 1992)"
31254,-5.4 °C
31254,-3.8°C
31254,-3 °C
24293,646 °C
62750,"522 °F (NIOSH, 2016)"
62750,342.3 °C
62750,MP: 272.3 °C
62750,272 °C
62750,522°F
8098,"-58 °F (NTP, 1992)"
8098,-50.0 °C
8098,-50 °C
24812,583 °C
24812,"MP: 586 °C, volatile at 600 °C"
24812,586 °C
10401,-18.0 °C
10401,-1.5 °C
7302,"-49 °F (NTP, 1992)"
7302,-43.3 °C
7302,-43.53 °C
7302,-45°C
7302,-44 °C
8082,"16 to 19 °F (EPA, 1998)"
8082,-7.0 °C
8082,-7 °C
8082,-9°C
516872,173.0 °C
516872,173 °C
7859,"-54 °F (NTP, 1992)"
7859,-51.8 °C
7859,-48 to -52 °C
7859,-48 - -52 °C
7859,-62°F
10442,-26.7 °C
7510,-6.5 °C
23681179,ofp-hydroxybenzoic acid derived from the sample is 213 °C to 217 °C
516871,"572 °F (USCG, 1999)"
516871,287.0 °C
516871,~300 °C
60966,63 °C
8795,"-2 °F (USCG, 1999)"
8795,FP: 17.6 °C
7996,-60 °C
12958,<50 °C
6327114,-60.0 °C
6327114,29 °C
24403,"1810 °F (NIOSH, 2016)"
24403,988 °C
24403,1810°F
24752,None; turns to glass at -43 °C
12591,69.4 °C
12591,69.4°C
28531,"greater than 572 °F (decomposes with color change at approximately 500° F) (NTP, 1992)"
62448,"greater than 572 °F (NTP, 1992)"
5656,215-217 °C (Hydrochloride salt)
5656,Crystals from ethyl acetate; melting point 102-104 °C; specific optical rotation: +27.6 deg (c = 1.07 in 95% ethanol) /Venlafaxine (+)form/
5656,Crystals from ethyl acetate; melting point 102-104 °C; specific optical rotation: -27.1 deg (c = 1.04 in 95% ethanol) /Venlafaxine (-)form/
5656,Crystals from methanol/ether; melting point 240-240.5 °C; specific optical rotation: -4.7 deg (c = 0.945 in ethanol) /Venlafaxine (+)form hydrochloride/
5656,Crystals from methanol/ether; melting point 240-240.5 °C; specific optical rotation: +4.6 deg (c = 1.0 in ethanol) /Venlafaxine (-)form hydrochloride/
5656,74-76°C
8265,233.0 °C
8265,239 °C
8265,231-235 °C
12393,-18.5 °C
12979,29 °C
8418,"421 to 424 °F (NTP, 1992)"
8418,215.0 °C
8418,216 °C
8418,218 °C
8418,421-424°F
8195,"19 °F (NTP, 1992)"
8195,-8.0 °C
8195,-7 °C
8195,-7 - -9 °C
8195,19°F
8195,15°F
6780,"547 °F (sublimes) (NTP, 1992)"
6780,286.0 °C
6780,286 °C
6780,Liquid Molar Volume = 0.193625 cu m/kmol; IG Heat of Formation = -9.52X10+7 J/kmol; Heat Fusion at Melting Point = 3.2552X10+7 J/kmol
78975,-70.0 °C
9386,-10.0 °C
9387,-42.0 °C
10985889,>345 °C
22932,-48.0 °C
22932,-48 °C
23976,"3452 °F (NTP, 1992)"
23976,1907 °C
23976,1900 °C
23976,3452°F
26042,"3380 °F (decomposes) (NTP, 1992)"
26042,1855 °C
26042,3326-3362°F
67839,-80.0 °C
12763,"-129 °F (USCG, 1999)"
12763,-89.4 °C
12763,-89.8°C
104730,"2723 °F (NTP, 1992)"
104730,"1,495 °C"
104730,1493 °C
104730,2719°F
10947,8.60°C.@760.00mmHg
7486,-17.0 °C
7486,-17.1 °C
5280435,<25°C
24012,"381 °F (USCG, 1999)"
24012,"-30 °F (USCG, 1999)"
24012,192.6 °C
24012,"MP: 190 °C at 2.5 atmospheres, sublimes readily at 178 °C  /Aluminum chloride anhydrous/"
24012,MP: decomposes /Aluminum chloride hydrate/
5997,145.0 °C
5997,148.5 °C
5997,MP: 145.5 °C (the melt becomes clear at 180 °C); optical rotation (25 °C/D) = -13.7 deg (c = 0.9 in chloroform) /Benzoate/
5997,148°C
517277,2435 °C
18725,-46 °C
88989,"1976 °F @ 600 mmHg. (Decomposes) (NIOSH, 2016)"
88989,1976°F@600 mmHg (decomposes)
88989,(600 mmHg): 1976°F (Decomposes)
7308,"302 °F (NTP, 1992)"
7308,162.0 °C
7308,150 °C
7308,SANTONOX R MELTING POINT: 161 °C
7308,302°F
81530,-20 to -25 °C
6326970,"392 °F (NIOSH, 2016)"
6326970,220.8 °C (gray selenium); vitreous selenium is transformed to gray selenium at 180 °C; alpha-form transforms to gray at temperatures above 120 °C
6326970,217 °C
6326970,392°F
10565,280 °C (decomposes)
10565,"Red-violet crystals; MP: decomposes; Decomposes in hot water; soluble in acids; insoluble in cold water /Cobalt(II) carbonate, basic/"
23925,"1,538 °C"
23925,Melting point: ...cast 1000-1300 °C; wrought 1500 °C; steel 1300 °C
9268,60.4 °C
10111431,"54, Decomposes at 314"
8696,Melts in the range between 53-58 °C if heated in an aluminum crucible under nitrogen; melts under decomposition in the range between 64-84 °C if heated in an glass capillary under air
14786,About 1935 °C
14786,1935 °C
13976,390°C
14985,3 °C
14985,3°C
14986,"36.5 to 38.3 °F (NTP, 1992)"
14986,-3.0 °C
186342,"593 to 608 °F (decomposes) (NTP, 1992)"
186342,320 °C
67645,-52.0 °C
23924,"2,446 °C"
8042,3.0 °C
8042,Approximately 3 °C
8042,3°C
243274,95-97 °C
6815,209 °C
12738,66.0 °C
12738,61 °C
5352426,"449 °F (NIOSH, 2016)"
5352426,231.9 °C
5352426,Transformation temp: (beta in equilibrium with alpha) 13.2 °C
5352426,449°F
5365125,-60 °C
61078,106.0 °C
14793,"554 °F (decomposes) (NTP, 1992)"
14793,"290 °C, decomposition"
11148,58.5°C
14775,2578 °C
14775,2530 °C
8906,"-8 °F (USCG, 1999)"
8906,-7.0 °C
8906,-20 °C
8906,"Molecular weight: 262; melting point: -22 °C; /Made from a mixture of higher alcohols, predominately C-12/"
10889,54.0 °C
5460467,"2349 °F (NIOSH, 2016)"
5460467,1287 °C
5460467,2349°F
23985,1064.76 deg  C
14410,"569.1 to 576.5 °F (NTP, 1992)"
14410,295.0 °C
14410,305 °C
14410,300-310 °C
612,40.8666666667 °C
612,16.8 °C
612,"Crystals from ether and isopropyl ether; melting point = 52.8 °C; pK = 3.83; soluble in water, alcohol, acetone, ether, glycerol; practically insoluble in chloroform. /D-lactic acid/"
612,Crystals from acetic acid or chloroform; melting point = 53 °C; pK = 3.79 at 25 °C. /L-lactic acid/
612,Semicrystalline polymer. Melting point: 180 °C; Glass transition temperature: 55 °C /poly-L-lactic acid/
612,17 °C
5757,200.0 °C
5757,178.5 °C
5757,178.5°C
5757,178-179°C
5758,"291 °F (NTP, 1992)"
5758,144.0 °C
5759,124.5 °C
5426,"516 to 520 °F (NTP, 1992)"
5426,270.0 °C
5426,270 °C
5426,270°C
5770,"507 to 509 °F (decomposes) (NTP, 1992)"
5770,264.5 °C
5770,264.5°C
4477,230.0 °C
4477,225-230 °C
5202,167.5 °C
5786,166.5 °C
5787,"315 to 320 °F (NTP, 1992)"
5787,164.2 °C
5802,"590 °F (NTP, 1992)"
5802,310.0 °C
5802,310 °C
5815,150.5 °C
139148732,211.5°C
5816,"412 to 414 °F (NTP, 1992)"
5816,211.5 °C
5816,"MP: 211-212 °C, approximately 215 °C with decomposition when heated rapidly"
5816,211.5°C
657298,"426 to 430 °F (NTP, 1992)"
657298,219.0 °C
657298,219-221 °C
657298,219°C
4033,"-76 °F (EPA, 1998)"
4033,-60.0 °C
4033,-60 °C
4033,108-111°C
5832,161.5 °C
5833,207.5 °C
5833,134-135 °C
5833,134.5°C
5453,"124.7 °F (NTP, 1992)"
5453,51.5 °C
5853,"181 to 183 °F (NTP, 1992)"
5853,77.0 °C
5853,82.2 °C
5853,83-84 °C
5853,181-183°F
4211,"171 to 172 °F (NTP, 1992)"
4211,77.0 °C
4211,77 °C
4211,77°C
89594,"-110 °F (EPA, 1998)"
89594,-79.0 °C
89594,-79 °C
89594,-79°C
89594,-80 °C
89594,-110°F
5936,"-116 °F (EPA, 1998)"
5936,-82.0 °C
5936,-82 °C
5936,-82°C
667493,"570 to 577 °F (Decomposes) (NTP, 1992)"
6992099,203°C
119,203°C
5944,"424 °F (EPA, 1998)"
5944,218.0 °C
5944,218 °C
2871,"196 °F (EPA, 1998)"
2871,93.0 °C
2871,95.2 °C
2871,MP: 90-92 °C (technical coumaphos)
2871,91 °C
2871,196°F
754,-25.0 °C
5971,"-112 °F (NTP, 1992)"
5971,-80.0 °C
5971,-80 °C
5971,-80°C
5971,-102.5 °C
5976,"-72 °F (EPA, 1998)"
5976,-58.0 °C
5976,-58 °C
5976,-72°F
4058,270.0 °C
4058,186-189°C
5988,"320 to 367 °F (decomposes) (NTP, 1992)"
5988,185.5 °C
5988,185.5°C
5988,320-367°F (decomposes)
5988,320-367°F (Decomposes)
1030,"-76 °F (NTP, 1992)"
1030,-60.0 °C
1030,-60 °C
1030,-59 °C
1030,-76°F
5991,"288 to 295 °F (NTP, 1992)"
5991,142-144
5991,183.0 °C
5991,142-146 °C. May also exist in a polymorphic modification with mp 180-186 °C
5991,183°C
5324,191.5 °C
5993,106.0 °C
5993,Melting point: 106-107 °C cis-isomer; 104-105 °C trans-isomer
5993,217-228°F
5995,"244 to 252 °F (NTP, 1992)"
5995,118-123 °C
5995,120.0 °C
68570,200.0 °C
68570,216-219°C
2712,236-236.5
2712,236.2 °C
2712,236-236.5 °C
4917,228.0 °C
4917,228 °C
4917,228°C
5497,"75 to 79 °F (NTP, 1992)"
5497,25.0 °C
6038,199.5 °C
5338,247.5 °C
5338,247-248°C
6042,164 °C
6042,"MP: 248 °C, DECOMP /HYDROCHLORIDE/"
1732,"151 °F (NTP, 1992)"
1732,67.0 °C
1732,67 °C
1732,MP: 55.5 °C and 66 °C (ligroin) ... Volatile with steam
1732,66 °C
5255805,281°C
876,281°C
135373086,281°C
3080,< 25 °C
3080,77 °C
6046,"84 °F (NTP, 1992)"
6046,29.0 °C
6046,29 °C
6046,84°F
58663891,270°C
836,270°C
517030,205°C
564,205.0 °C
564,202-203 °C
564,205°C
178,"180.1 °F (NTP, 1992)"
178,81.0 °C
178,81.16 °C
178,82-83°C
178,81 °C
178,180.1°F
3048,"Decomposes at 473° F. (EPA, 1998)"
3048,201.75 °C
3048,Approximately 200 °C (rearranges above that point)
3048,226-230°C
3048,200 °C
3048,473°F (decomposes)
3048,392°F (Decomposes)
4044,230-231 °C
4044,230.5 °C
4044,"DECARBOXYLATES @ TEMP ABOVE ITS MELTING POINT (@ 300 °C, 100% IS DECARBOXYLATED IN 3 MIN)"
4044,230-231°C
6099,100-110 °C (decomposes)
6110,152.5°C
101603127,152.5°C
2716,152.5°C
25210,152.5°C
6119,335.0 °C
6119,335°C
5245672,335°C
16212360,"392 °F Decomposes at 392° F. (EPA, 1998)"
16212360,201.0 °C
16212360,200-202 °C; decomposes above melting point
16212360,392°F (decomposes)
16212360,392°F
2230,< 25 °C
6143,"162 to 165 °F (EPA, 1998)"
6143,73.0 °C
6143,72 to 74 °C
6151,77-79
6151,77.0 °C
6167,"288 to 302 °F (EPA, 1998)"
6167,156.0 °C
6167,142-150 °C
6171,165.0 °C
9305,213.0 °C
1318,117.0 °C
1050,165.0 °C
1050,165°C
180,"-137 °F (NTP, 1992)"
180,-96.55 °C
180,-94.9 °C
180,-94.8°C
180,-95 °C
180,-137°F
180,-140°F
679,"65.3 °F (NTP, 1992)"
679,18.5 °C
679,18.45 °C
679,18.5°C
6230,202-208C
6230,203.5 °C
6230,204 °C
6230,"Crystals from methylene chloride and hexane; max absorption: 240 nm (e = 18,690); MP: 161-162 °C /Norethindrone acetate/"
6230,203.5°C
6230,397.4°F
135398638,150°C
790,150°C
294,"500 to 518 °F (Decomposes) (NIOSH, 2016)"
294,240.0 °C
294,500-518°F (decomposes)
294,500-518°F (Decomposes)
3598,"322 to 333 °F (NTP, 1992)"
3598,161-163
3598,166.5 °C
3598,165.5 °C
3598,164-165 °C
6264,"81.5 to 86.0 °F (NTP, 1992)"
6264,25.8 °C
2973,140.0 °C
2973,MP: 138-140 °C /MONOHYDRATE/; 172-175 °C /HYDROCHLORIDE/; 148-149 °C /METHANESULFONATE/
2973,MP: 180-182 °C /N-ACETYL DERIV/
2973,138-140°C
597,>300°C
441207,"493 to 495 °F when anhydrous (EPA, 1998)"
441207,255.5 °C
441207,MP: 256-257 °C (anhydrous)
441207,255.5°C
4115,"187 to 190 °F (NTP, 1992)"
4115,87.0 °C
4115,87 °C
4115,MP: 172 °F (77.78 °C)
4115,"MP: 89 °C (technical, 77 °C)"
4115,89 °C
4115,171°F
6293,289.5 °C
6293,260.0 °C
190,360°C
2315,222-223 °C
2315,222.0 °C
2315,224.5 to 225.5 °C (also reported as 221 to 223 °C)
2315,221-223°C
6307,"482 to 486 °F (NTP, 1992)"
6307,251.0 °C
6307,250-252 °C
6307,251°C
297,"-296 °F (USCG, 1999)"
297,"-296.5 °F (NTP, 1992)"
297,-182.4 °C
297,-182.566 °C
297,-182.4°C
297,-183 °C
768,"7.9 °F (EPA, 1998)"
768,"7 °F (96%) (NIOSH, 2016)"
768,-13.4 °C
768,-13.28 °C
768,5.00°C.@0.00mmHg
768,-13 °C
768,7°F (96%)
6335,"-153 °F (NIOSH, 2016)"
6335,-102.7 °C
6335,-153°F
6341,"-114 °F (NTP, 1992)"
6341,-81.2 °C
6341,-81.2°C
6341,-81 °C
6341,-114°F
6354,"-170.5 °F (EPA, 1998)"
6354,-111.7 °C
6354,-111 °C
6354,-171°F
5558,"48 °F (NTP, 1992)"
5558,8.0 °C
5558,8.69 °C
5558,8.3 °C
5558,47°F
6362,-90.0 °C
6363,"-150 °F (NTP, 1992)"
6363,-95.1 °C
6363,-95.119 °C
6363,-95.2 °C
6363,-150°F
6374,"248 °F (NTP, 1992)"
6374,119-122
6374,119.0 °C
6374,119 °C
6374,"Enthalpy of melting @ mp: 3.9 kcal/mole; enthalpy of sublimation @ 298 K: 16.7 kcal/mole; specific heat @ 400 K: 19.60 cal/K.mole, @ 600 K: 21.52 cal/K.mole, @ 800 K: 22.64 cal/K.mole, @ 1000 K: 23.38 cal/K.mole"
6374,246°F
6377,"-85 °F (EPA, 1998)"
6377,-65.0 °C
6377,-65 °C
6377,-63 °C
6377,-85°F
2513,"383 to 385 °F (NTP, 1992)"
2513,195.0 °C
2513,195 °C
6406,"-2.2 °F (EPA, 1998)"
6406,-19.0 °C
6406,-19 °C
6406,-4°F
6408,-105.5 °C
6408,-105.3 °C
6416,-52.5 °C
6418,"46 °F (USCG, 1999)"
6418,-5.0 °C
6418,20 °C
6418,46°F
66154,25.0 °C
6426,"105 °F (NIOSH, 2016)"
6426,40.6 °C
6426,41 °C
6426,105°F
6427,"77 °F (NIOSH, 2016)"
6427,26.0 °C
6427,26 °C
6427,77°F
2537,"345 °F (NIOSH, 2016)"
2537,"353.8 °F (NTP, 1992)"
2537,"353.5 °F (NTP, 1992)"
2537,179.26666666669996 °C
2537,174-179 °C
