Species,Hcp
ethylestrenol,0.43
hydroxybenzene,0.28
1-hydroxy-2-methylbenzene,4.2
1-hydroxy-3-methylbenzene,7.9
1-hydroxy-4-methylbenzene,10
"1-hydroxy-2,3-dimethylbenzene",9.3
"1-hydroxy-2,4-dimethylbenzene",6.6
"1-hydroxy-2,5-dimethylbenzene",7.5
"1-hydroxy-2,6-dimethylbenzene",2.3
"1-hydroxy-3,4-dimethylbenzene",24
"1-hydroxy-3,5-dimethylbenzene",16
4-methylbenzenemethanol,9
"2,3,5-trimethylphenol",12
"2,4,6-trimethylphenol",3.2
"3,4,5-trimethylphenol",34
1-hydroxy-2-ethylbenzene,2.1
1-hydroxy-3-ethylbenzene,4.9
1-hydroxy-4-ethylbenzene,8.2
1-hydroxy-4-propylbenzene,1.7
2-(1-methylethyl)-phenol,2.6
2-phenylisopropanol,26
3-methyl-5-ethylphenol,2.9
"2,3,6-trimethylphenol",2.5
"2-(1,1-dimethylethyl)phenol",7
2-(1-methylpropyl)phenol,4.7
4-(1-methylpropyl)-phenol,3.6
4-tert-butylphenol,8.9
2-methyl-5-(1-methylethyl)-phenol,2.4
5-methyl-2-(1-methylethyl)-phenol,3
"2-(1,1-dimethylethyl)-4-methylphenol",6.6
"4-(1,1-dimethylpropyl)phenol",4.9
1-hydroxy-4-octylbenzene,1.3
1-hydroxy-4-nonylbenzene,0.29
"4-(1,1,3,3-tetramethylbutyl)-phenol",2.3
"2,6-bis(1,1-dimethylethyl)-4-methylphenol",0.0029
"4-(3’,5’-dimethyl-3’-heptyl)-phenol(+)C15H24O",2.9
"4-(3’,5’-dimethyl-3’-heptyl)-phenol(-)C15H24O",3.3
2-phenylethanol,37
3-phenyl-1-propanol,180
4-phenyl-1-butanol,6.7
1-naphthalenol,160
2-naphthalenol,110
o-hydroxybiphenyl,9.4
p-hydroxybiphenyl,0.16
"2,4,6-tris(1,1-dimethylethyl)phenol",1
dehydroabietol,8.4
"2,2’-methylenebis(6-(1,1-dimethylethyl)-4-methylphenol)",1.2e+06
"2,4-dinonylphenol",0.15
"1,2-ethanediol",4000
"1,2-propanediol",760
"1,3-propanediol",9100
"1,2,3-propanetriol",580
"1,2-butanediol",340
"1,3-butanediol",7000
"1,4-butanediol",900
"2,3-butanediol",340
"2-methylpropane-1,3-diol",43
"1,2,3-butanetriol",3e+09
"1,2,4-butanetriol",3e+09
"1,2,3,4-butanetetrol",2e+14
"2(R),3(S)-1,2,3,4-butanetetrol",0.11
"1,2-pentanediol",1400
"1,4-pentanediol",23000
"1,5-pentanediol",70000
"2,3-pentanediol",30000
"2,4-pentanediol",3800
"2-(hydroxymethyl)-2-methyl-1,3-propanediol",900
"2,2-bis(hydroxymethyl)1,3-propanediol",7.3e+10
"1,2,3,4,5-pentanepentol",8.9e+18
"1,2-hexanediol",0.17
"1,6-hexanediol",45000
"2,5-hexanediol",14000
"2-methyl-1,3-pentanediol",30000
"2-methyl-2,4-pentanediol",25
"1,2,6-hexanetriol",2e+09
"1,2,3,4,5,6-hexahydroxy hexane",3.9e+23
"1,2,4,5-cyclohexanetetrol",3.9e+14
"1,2,3,4,5,6-hexahydroxycyclohexane",9.9e+23
"2,4-heptanediol",20000
"2,2-diethyl-1,3-propanediol",20000
"1,2,3,4,5-pentahydroxyheptane",4.9e+18
"1,2,3,4,6-pentahydroxyheptane",3.9e+18
"1,2,3,5,7-pentahydroxyheptane",4.9e+18
"1,2,3,4,5,6-hexahydroxyheptane",3e+23
4-methylcyclohexanemethanol,1.5
"1,4-cyclohexanedimethanol",150000
"2-ethyl-1,3-hexanediol",110
"2,2,4-trimethyl-1,3-pentanediol",14
"2,5-dimethyl-2,5-hexanediol",14
"2-butene-1,4-diol",0.34
"2-butyne-1,4-diol",2000
"1,2-dihydroxybenzene",8200
"1,3-dihydroxybenzene",100000
"1,4-dihydroxybenzene",260000
"1,2,3-benzenetriol",63000
hexylresorcinol,38000
"2,6-bis(1,1-dimethylethyl)phenol",3.1
4-(1-methyl-1-phenylethyl)phenol,110
"2,2’,3,3’-tetrahydro-3,3,3’,3’-tetramethyl-1,1’-spirobi(1H-indene)-6,6’-diol",0.15
"4,4’-(3,3,5-trimethylcyclohexane-1,1-diyl)diphenol",440000
"3,3,3’,3’-tetramethyl-1,1’-spirobi(indan)-5,5’,6,6’-tetrol",1.4e+14
"9,9-bis(4-hydroxyphenyl)fluorene",8.4e+08
methyl hydroperoxide,2.9
ethyl hydroperoxide,3.3
hydroxymethyl hydroperoxide,17000
bis-(hydroxymethyl)-peroxide,99000
tert-butyl hydroperoxide,0.62
di-tert-butylperoxide,0.00082
1-methyl-1-phenylethylhydroperoxide,210
dicumyl peroxide,0.22
methylperoxy radical,0.15
hydroxymethylperoxy radical,790
methanal,32
ethanal,0.13
propanal,0.099
butanal,0.095
2-methylpropanal,0.0059
pentanal,0.068
2-methylbutanal,0.023
3-methylbutanal,0.021
hexanal,0.032
2-methylpentanal,0.027
heptanal,0.033
octanal,0.21
nonanal,0.01
2-ethylhexanal,0.012
"3,5,5-trimethylhexanal",0.02
decanal,0.0043
propenal,0.072
2-methylpropenal,0.048
2-butenal,0.097
2-hexenal,0.062
2-heptenal,0.05
2-octenal,0.041
"3,7-dimethyl-6-octenal",0.025
"3,7-dimethyl-2,6-octadienal",0.23
benzaldehyde,0.38
phenylacetaldehyde,0.1
2-methylbenzaldehyde,0.33
3-methylbenzaldehyde,0.33
4-methylbenzaldehyde,0.58
2-hydroxybenzaldehyde,16
3-hydroxybenzaldehyde,3900
4-hydroxybenzaldehyde,19000
3-phenyl-2-propenal,2.8
ethanedial,4100
pentanedial,300
propanone,0.27
propanone-2-13C,0.31
1-hydroxypropanone,77
butanone,0.18
"butanone-1,1,1,3,3-d5",0.37
2-pentanone,0.16
3-pentanone,0.16
1-cyclopropyl-ethanone,0.95
3-methyl-2-butanone,0.087
cyclopentanone,0.82
2-hexanone,0.15
"2-hexanone-1,1,1,3,3-d5",0.17
3-methyl-2-pentanone,0.073
4-methyl-2-pentanone,390
2-methyl-3-pentanone,0.065
"3,3-dimethyl-2-butanone",0.45
cyclohexanone,0.82
2-heptanone,0.059
3-heptanone,0.11
4-heptanone,0.41
3-methyl-2-hexanone,0.032
4-methyl-2-hexanone,0.033
5-methyl-2-hexanone,0.062
2-methyl-3-hexanone,0.041
4-methyl-3-hexanone,0.037
5-methyl-3-hexanone,0.037
3-ethyl-2-pentanone,0.034
"3,3-dimethyl-2-pentanone",0.045
"3,4-dimethyl-2-pentanone",0.043
"4,4-dimethyl-2-pentanone",0.055
"2,2-dimethyl-3-pentanone",0.055
"2,4-dimethyl-3-pentanone",0.41
cycloheptanone,0.7
dicyclopropylmethanone,3.1
2-octanone,0.052
3-octanone,0.076
4-octanone,0.036
6-methyl-3-heptanone,0.037
cyclohexyl methyl ketone,0.29
2-nonanone,0.41
5-nonanone,0.035
"2,6-dimethyl-4-heptanone",0.082
"2,2,4,4-tetramethyl-3-pentanone",0.023
2-decanone,0.021
2-undecanone,0.016
6-undecanone,0.015
2-dodecanone,0.0021
2-tridecanone,0.67
2-tetradecanone,0.00021
2-pentadecanone,5.4e-05
2-hexadecanone,1.7e-05
2-heptadecanone,3.9e+06
menthone,0.057
"tricyclo[3.3.1.1(3,7)]decanone",1.4
3-buten-2-one,0.26
4-methyl-3-penten-2-one,0.27
1-phenylethanone,1.1
1-phenylethanone-d5,2.3
phenyl ethyl ketone,0.076
4-methoxy-4-methyl-2-pentanone,5.1
4-methoxyphenyl methyl ketone,0.68
2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-one,0.49
benzophenone,17
"3,5,5-trimethyl-2-cyclohexen-1-one",1.5
bicyclo[2.2.1]heptan-2-one,0.43
4-methyl-1-(1-methylethyl)-bicyclo[3.1.0]hexan-3-one,0.1
isopropyl phenyl ketone,0.57
carvone,0.13
thujone,0.62
9H-fluoren-9-one,15
anthrone,12
"1,2,3,5,6,7-hexahydro-1,1,2,3,3-pentamethyl-4H-inden-4-one",0.07
"2,4,6-trimethylbenzophenone",3.8
"1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one",0.025
"1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-1H-inden-5-yl)ethanone",0.31
celestolide,0.31
7H-benz[de]anthracen-7-one,150
"1-[2,3-dihydro-1,1,2,6-tetramethyl-3-(1-methylethyl)-1H-inden-5-yl]ethanone",0.23
tonalid,0.07
"2,3-butanedione",0.73
"2,4-pentanedione",1.7
"1,2-naphthalenedione",2300
"1,4-naphthalenedione",5000
menadione,0.32
"2,6-di-tert-butyl-p-benzoquinone",620
"9,10-phenanthrenedione",3700
dibenzoylmethane,7500
"2-ethyl-9,10-anthracenedione",2100
"9,10-anthracenedione",420
methanoic acid,88
ethanoic acid,40
propanoic acid,15
butanoic acid,9.7
2-methylpropanoic acid,9.6
pentanoic acid,23
2-methylbutanoic acid,16
3-methylbutanoic acid,11
"2,2-dimethylpropanoic acid",3.5
hexanoic acid,13
2-methylpentanoic acid,11
2-ethylbutanoic acid,9
heptanoic acid,9.6
"4,4-dimethylpentanoic acid",4.3
2-ethyl-2-methylbutanoic acid,4.3
octanoic acid,0.15
2-ethylhexanoic acid,3.5
nonanoic acid,3.8
decanoic acid,6.5
"3,3,5,5-tetramethylhexanoic acid",1.9
undecanoic acid,5.8
dodecanoic acid,4.5
octadecanoic acid,250000
propenoic acid,31
2-methyl-2-propenoic acid,25
benzenecarboxylic acid,290
sorbic acid,0.2
shikimic acid,3.7e+08
4-hydroxybenzoic acid,1.4e+06
"3,4,5-trihydroxybenzoic acid",1.2e+14
3-methylbenzoic acid,6.6
2-methylbenzoic acid,82
4-methylbenzoic acid,82
2-hydroxy-benzoic acid,800
benzeneethanoic acid,150
phthalic anhydride,1600
"1,2-benzenedicarboxylic acid",0.49
terephthalic acid,2.5e+07
isophthalic acid,4.5e+06
dehydroacetic acid,29
caffeic acid,7e+10
4-methylphthalic anhydride,1.4
p-tert-butylbenzoic acid,35
"benzoic acid, anhydride",7
pyromellitic dianhydride,1300
rosmarinic acid,3.7e+21
ethanedioic acid,0.61
propanedioic acid,3.8e+08
butanedioic acid,2.7e+07
pentanedioic acid,1.9e+07
hexanedioic acid,2.1e+06
heptanedioic acid,8.1e+07
octanedioic acid,7.7e+07
nonanedioic acid,8.9e+07
decanedioic acid,7.6e+07
cis-butenedioic acid,0.14
methanoic peroxyacid,29
ethanoic peroxyacid,8.3
"1,3-dioxolan-2-one",0.036
"carbonic acid, dimethyl ester",0.016
dimethyl dicarbonate,0.022
methyl methanoate,0.041
ethyl methanoate,0.34
propyl methanoate,0.026
isopropyl methanoate,0.012
"methanoic acid, pentyl ester",0.013
isopentyl methanoate,0.015
"methanoic acid, hexyl ester",0.011
methyl ethanoate,0.81
ethyl ethanoate,0.059
ethyl ethanoate-1-13C,0.071
propyl ethanoate,0.045
"ethanoic acid, 2-propenyl ester",0.076
isopropyl ethanoate,0.035
"ethanol, 2-methoxy-, acetate",9
glycerol monoacetate,24000
"1-propen-2-ol, acetate",0.0055
butyl ethanoate,0.024
sec-butyl acetate,0.023
"acetic acid, 1,1-dimethylethyl ester",0.024
pentyl ethanoate,0.034
"1,2-propanediol, diacetate",70
"2-pentanol, acetate",0.012
isopentyl ethanoate,0.026
hexyl ethanoate,0.015
4-methyl-2-pentyl ethanoate,0.017
"acetic acid, cyclohexyl ester",0.82
"ethanol, 2-(2-ethoxyethoxy)-, acetate",430
"acetic acid, phenyl ester",0.15
"acetic acid, phenylmethyl ester",0.9
2-ethylhexyl ethanoate,0.011
"ethanol, 2,2’-[1,2-ethanediylbis(oxy)]bis-, diacetate",3.7e+07
1-methoxy-2-propyl ethanoate,0.99
2-ethoxyethyl ethanoate,1.5
2-butoxyethyl ethanoate,1.8
"2-(2-butoxyethoxy)-ethanol, ethanoate",28
"1,2-ethanediol, diethanoate",120
geranyl acetate,0.0041
linalyl acetate,0.58
"cyclohexanol, 5-methyl-2-(1-methylethyl)-, acetate",0.012
methyl propanoate,0.057
methyl 2-hydroxypropanoate,1200
ethyl propanoate,0.041
propyl propanoate,0.025
isopropyl propanoate,0.017
pentyl propanoate,0.14
"propanoic acid, 2-hydroxy-, ethyl ester",17
"propanoic acid, 2-phenylethyl ester",0.39
methyl butanoate,0.037
ethyl butanoate,0.029
propyl butanoate,0.016
"butanoic acid, 2-methylpropyl ester",0.013
"2-methylpropanoic acid, methyl ester",0.33
"2-methylpropanoic acid, ethyl ester",0.02
"3-oxobutanoic acid, methyl ester",37
"3-oxobutanoic acid, ethyl ester",11
methyl pentanoate,0.031
ethyl pentanoate,0.028
"2-methylbutanoic acid, ethyl ester",0.0089
"3-methylbutanoic acid, ethyl ester",0.016
"2,2-dimethylpropanoic acid, methyl es-ter",0.023
methyl hexanoate,0.19
ethyl hexanoate,0.014
"2-ethylbutanoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl)",990000
ethyl heptanoate,0.02
methyl octanoate,0.0099
ethyl octanoate,0.011
"octadecanoic acid, 2-methylpropyl ester",0.00026
"octadecanoic acid, butyl ester",0.00026
methyl nonanoate,0.007
ethyl nonanoate,0.013
"nonanedioic acid, bis(2-ethylhexyl) es-ter",0.82
methyl decanoate,0.011
ethyl decanoate,0.014
methyl dodecanoate,0.0083
ethyl dodecanoate,0.0077
propyl dodecanoate,0.0077
butyl dodecanoate,0.0071
2-ethylhexyl dodecanoate,0.003
methyl tetradecanoate,0.005
methyl hexadecanoate,0.0029
isopropyl palmitate,0.00021
ascorbic palmitate,0.7
methyl octadecanoate,0.0017
methyl eicosanoate,0.001
methyl docosanoate,0.00059
"cyclopropanecarboxylic acid, methyl",0.41
"cyclohexanecarboxylic acid, methyl es-ter",0.11
oxacyclohexadecan-2-one,0.004
2-tert-butylcyclohexyl acetate,0.99
"2-ethyl-3-oxo-butanoic acid, ethyl ester",3.4
"carbonic acid, diethyl ester",0.11
"2-hydroxypropanoic acid, butyl ester",4.9
methyl propenoate,0.049
ethyl propenoate,0.029
"2-propenoic acid, butyl ester",0.021
"2-propenoic acid, 2-methylpropyl ester",0.016
"2-propenoic acid, 2-ethylhexyl ester",0.023
"2-propenoic acid, 2-hydroxyethyl ester",1200
"2-methyl-2-propenoic acid, ethyl ester",0.017
"2-methyl-2-propenoic acid, 2-propenyl",0.024
"2-methyl-2-propenoic acid, oxiranyl-methyl ester",0.32
"2-methyl-2-propenoic acid, propyl ester",0.018
"2-methyl-2-propenoic acid, butyl ester",0.02
"2-methyl-2-propenoic acid, 2-methylpropyl ester",0.019
"2-methyl-2-propenoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl)",5.8e+06
methyl methacrylate,0.043
ethenyl ethanoate,0.019
3-(4-methoxyphenyl)-2-propenoic,1.2
methyl benzoate,0.3
ethyl benzoate,0.097
2-hydroxybenzoic acid methyl ester,11
"benzoic acid, 4-methyl-, methyl ester",0.26
"1,4-benzenedicarboxylic acid, dimethyl",0.076
butyl benzoate,0.12
diphenyl carbonate,0.12
benzyl benzoate,1.8
dimethyl phthalate,49
"1,4-cyclohexanedicarboxylic acid,dimethyl ester",100
"1,3-benzenedicarboxylic acid, dimethyl",160
diethyl phthalate,16
dipropyl phthalate,18
diallyl phthalate,35
bis(2-methoxyethyl) phthalate,23
dibutyl phthalate,9.3
diisobutyl phthalate,3.5
"1,2-benzenedicarboxylic acid, butyl cy-clohexyl ester",10
butyl glycolyl butyl phthalate,0.47
diamyl phthalate,11
butyl benzyl phthalate,100
dihexyl phthalate,0.38
butyl 2-ethylhexyl phthalate,2.1
diphenyl terephthalate,320
dicyclohexyl phthalate,99
bis(2-butoxyethyl) phthalate,4.9e+06
diheptyl phthalate,0.59
dioctyl phthalate,3.8
diisooctyl phthalate,0.32
decyl hexyl phthalate,160
bis(2-ethylhexyl)-phthalate,37
bis(2-ethylhexyl) terephthalate,0.99
dinonyl phthalate,0.11
diisononyl phthalate,6.6
didecyl phthalate,0.046
diisodecyl phthalate,9
diundecyl phthalate,33
ditridecyl phthalate,0.0036
"ethanedioic acid, dimethyl ester",6.9
"propanedioic acid, dimethyl ester",38
"propanedioic acid, diethyl ester",3.9
"butanedioic acid, dimethyl ester",30
diethyl succinate,4
diethyl pimelate,1.5
"1,3-benzenedicarboxylic acid, diethyl",25
"2,6-naphthalenedicarboxylic acid,dimethyl ester",450
di-(2-ethylhexyl)-adipate,23
"peroxybenzoic acid, tert-butyl ester",0.047
"neodecaneperoxoic acid, 1,1-dimethylethyl ester",0.99
"neoheptaneperoxoic acid, 1-methyl-1-phenylethyl ester",0.038
hydroxypropyl acrylate,5800
2-hydroxyethyl methacrylate,2100
2-hydroxypropyl acrylate,1600
dimethyl fumarate,14
"hexanedioic acid, dimethyl ester",10
methyl 4-hydroxybenzoate,4500
diethyl fumarate,410
diethyl adipate,2.7
propyl 4-hydroxybenzoate,1500
diethylene glycol diacrylate,10000
methyl jasmonate,700
cinoxate,1900
trimethylolpropane triacrylate,16000
benzyl cinnamate,30
"2,2,4-trimethyl-1,3-pentanediol di-isobutyrate",0.9
"nonanedioic acid, dibutyl ester",0.82
isopropyl myristate,0.00042
"decanedioic acid, dibutyl ester",210
diethylene glycol dibenzoate,3.3e+06
"12-hydroxy-9-octadecenoic acid,methyl ester",67
"chrysanthemumic acid 2,4-dimethylbenzyl ester",0.13
tributyl acetylcitrate,0.26
"hexanedioic acid, dioctyl ester",23
diisooctyl adipate,0.19
"hexanedioic acid, bis[2-(2-butoxyethoxy)ethyl] ester",3.2e+07
"1,2-benzenedicarboxylic acid, decyl",0.47
"phthalic acid, isodecyl octyl ester",0.47
diisononyl hexahydrophthalate,0.14
"decanedioic acid, bis(2-ethylhexyl) es-ter",0.12
glycerol tricaprylate,390
tris(2-ethylhexyl) trimellitate,22
emamectin benzoate,5800
dimethyl ether,0.0017
ethyl methyl ether,0.014
diethyl ether,0.005
diethyl ether-d10,0.013
methyl propyl ether,0.0067
methyl 2-propyl ether,0.012
divinyl ether,0.54
methyl butyl ether,0.0044
2-methoxybutane,0.0062
methyl tert-butyl ether,0.017
ethyl propyl ether,0.0086
1-ethoxy-butane,0.0064
ethyl tert-butyl ether,0.0063
2-methoxy-2-methylbutane,0.86
dipropyl ether,0.003
diisopropyl ether,0.0039
2-ethyl-2-ethoxypropane,0.0024
dibutyl ether,0.22
diisobutyl ether,0.0037
"1,1’-oxybispentane",0.0027
"1,1’-oxybis(3-methylbutane)C10H22O",0.0066
"1,1’-oxybishexane",0.0018
"1-ethoxy-3,7-dimethyloctane",0.00067
methoxycyclohexane,0.031
methyl cedryl ether,0.0025
dimethoxymethane,0.061
trimethoxymethane,0.69
"1,1-diethoxyethane",0.1
"1,2-diethoxyethane",0.16
"1,1,1-trimethoxyethane",0.64
"1,2-dimethoxyethane",1.4
3-oxa-1-hexanol,20
3-oxa-1-heptanol,3.5
1-methoxy-2-propanol,4.8
4-methyl-3-oxa-1-pentanol,4.8
"1,2-dibutoxyethane",0.99
"3,6-dioxa-1-decanol",1400
"1,1’-[oxybis(2,1-ethanediyloxy)]bisbutane",3.5
methoxyethene,0.0015
1-(ethenyloxy)butane,0.45
vinylisobutyl ether,0.00019
methoxybenzene,0.029
ethoxybenzene,0.017
2-phenoxyethanol,200
2-(phenylmethoxy)-ethanol,150
"1,2,3-trimethoxybenzene",3.6
1-methoxy-4-(1-propenyl)-benzene,0.099
2-methoxy-4-(2-propenyl)-phenol,5.1
"1,2-dimethoxy-4-(2-propenyl)-benzene",1.8
diphenyl ether,0.035
1-dodecyl-4-phenoxybenzene,0.0034
"2,2,4-trimethyl-4-(4-(4-(2,4,4-trimethylpentan-2-yl)phenoxy)phenyl)pentane",0.0013
di-tert-butyl sec-butylidene diperoxide,0.012
"peroxide, 1,1-dimethylethyl 1-methyl-1-phenylethyl",0.014
"di-tert-butyl 1,1,4,4-tetramethyltetramethylene diperoxide",0.0039
"1,4-bis(1-tert-butylperoxy-1-methyl-ethyl)benzene",0.1
2-furanmethanol,120
tetrahydropyran-2-methanol,90
oxirane,0.058
"1,2-epoxypropane",0.14
phenyloxirane,0.62
oxacyclopentadiene,0.0018
dibenzofuran,0.047
2-furancarboxaldehyde,2.6
tetrahydrofuran,0.22
tetrahydrofuran-d8,0.23
2-methyltetrahydrofuran,0.0015
"2,5-dimethyltetrahydrofuran",0.055
tetrahydropyran,0.1
"1,3-dioxolane",0.4
"1,3-dioxane",2.1
"1,4-dioxane",2.3
"1,4-dioxane-d8",2.8
"4-methyl-1,3-dioxolan-2-one",290
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",0.059
"dibenzo[b,e][1,4]dioxin",0.09
piperonal,18
paraldehyde,0.25
benzofuran,0.019
"1,5,5,9-tetramethyl-13-oxatricyclo(8.3.0.0(4,9))tridecane",0.2
"1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",0.076
2-(4-methyl-3-cyclohexen-1-yl)-2-propanol,4.4
"1,2-dimethyl-3-(1-methylethenyl)-cyclopentanol",0.4
1-methyl-4-(1-methylethyl)-7-oxabicyclo[2.2.1]heptane,0.039
"1,7,7-trimethyl-bicyclo[2.2.1]heptan-2-one",0.12
"2,7,7-trimethyl-3-oxatricyclo[4.1.1.0(2,4)]octane",0.23
5-methyl-2-(1-methylethylidene)-cyclohexanone,0.28
"exo-2-[(1,7,7-trimethylbicyclo[2.2.1]hept-2-yl)-oxy]ethanol",1
"4-(2,6,6-trimethyl-1-cyclohexenyl)-3-buten-2-one",1.2
oxoethanoic acid,110
hydroxyethanoic acid,280
2-hydroxyethanal,410
propanonal,320
2-oxopropanoic acid,0.31
3-oxopropanoic acid,69
2-hydroxypropanoic acid,120
glycidaldehyde,19
trimethylene oxide,0.39
"2,3-dihydroxypropanal",2e+08
dihydroxyacetone,1.8e+06
2-methoxyethanol,4.4
4-oxobutanoic acid,49
"3-oxapentane-1,5-diol",0.49
hydroxybutanedioic acid,2.7e+08
2-ethoxyethanol,8.9
2-methoxy-1-propanol,550
"1,1-dimethoxyethane",0.15
4-methylene-2-oxetanone,0.016
2(5H)-furanone,1
"2,2’-bioxirane",280
butyrolactone,190
ethyloxirane,0.055
"2,3-epoxy-6-oxo-heptenal",2500
3-hydroxy-2-butanone,0.57
2-(vinyloxy)ethanol,39
2-methyloxetane,0.12
5-oxopentanoic acid,39
2-oxopentanedioic acid,9.9e+06
tetrahydro-2-furanmethanol,2400
xylose,8200
2-(2-methoxyethoxy)ethanol,620000
"3,6-dioxaoctane-1,8-diol",310000
2-oxepanone,0.055
glycidyl ether,760
4-hydroxy-4-methyl-2-pentanone,2300
1-propoxy-2-propanol,0.29
2-(2-ethoxyethoxy)ethanol,450
"2,5,8-trioxanonane",19
oxydipropanol,1800
p-benzoquinone,0.021
5-hydroxymethylfurfural,18000
5-hydroxy-2-(hydroxymethyl)-4H-pyran-4-one,41
"1-(1,1-dimethylethoxy)-2-propanol",2.1
2-[2-(2-methoxyethoxy)ethoxy]ethanol,2.8e+08
2-methylp-benzoquinone,0.52
patulin,90000
1-hydroxy-3-methoxybenzene,170
mequinol,19
1-hydroxy-2-methoxybenzene,7.7
"1,4-dimethoxybenzene",0.0028
4-methyl-2-methoxyphenol,7.7
"1,3-dimethoxy-2-hydroxybenzene",37
"hexahydro-1,3-isobenzofurandione",0.47
1-methoxy-4-methylbenzene,0.21
dimethoxane,80
metaldehyde,0.19
diethyl carbitol,90
2-[2-(2-ethoxyethoxy)ethoxy]ethanol,2.1e+08
tetraethylene glycol,1.8e+13
vanillin,4700
ethylparaben,2100
ethyl vanillin,12000
1-phenoxypropan-2-ol,340
triacetin,820
tripropylene glycol,3e+09
coumarin,100
"5-(1-propenyl)-1,3-benzodioxole",0.27
safrole,1.1
"5-propyl-1,3-benzodioxole",0.82
2-methoxy-4-(1-propenyl)phenol,2.7
p-cresyl glycidyl ether,13
4-(4-hydroxyphenyl)-2-butanone,18000
guaifenesin,220000
levomenthol,0.66
diethylene glycol hexyl ether,580
2-[2-(2-butoxyethoxy)ethoxy]ethanol,1e+08
"4-methoxy-6-(2-propenyl)-1,3-benzodioxole",18
butylparaben,1200
2-tert-butyl-4-methoxyphenol,8.4
3-hydroxy-2-naphthalenecarboxylic,7000
arbutin,8.2e+13
butopyronoxyl,210
diethylene glycol bis(methacrylate)C12H18O5,12000
dikegulac,5.2e+10
propofol,4.7
lactitol,1.2e+16
maltitol,2.3e+15
naphthalic anhydride,16
methoxsalen,250
bisphenol F,1.9e+06
ibuprofen,0.66
benzoyl peroxide,2.8
oxybenzone,660
resveratrol,7e+10
pindone,1.1e+06
"1,1’-[oxybis(methylene)]bisbenzene",120
"butanoic acid, 3,3-bis((1,1-dimethylethyl)dioxy)-, ethyl ester",5
"1-hydroxy-9,10-anthracenedione",1400
danthron,180000
bisphenol A,250000
atractylenolide III,1000
deoxynivalenol,4.9e+08
nivalenol,0.14
tributyrin,1000
diosmetin,3.3e+12
shikonin,1.2e+09
"2,2-bis(4-hydroxyphenyl)butane",820000
"ethyl 3,3-bis(tert-amylperoxy)butyrate",2.9
aflatoxin B1,7e+07
aflatoxin G1,2e+07
aflatoxin B2,3.3e+09
aflatoxin G2,9e+08
bisphenol C,900000
fusarenon X,2.1e+11
dihydrotanshinone I,76000
diethylstilbestrol,170
estrone,26000
estradiol,270000
estriol,7.6e+06
nandrolone,3700
diofenolan,150
dicumarol,7e+07
coumatetralyl,1.7e+08
warfarin,37000
tanshinone II,2000
gibberellic acid,6.2e+09
prallethrin,6.2
testolactone,160
androstenedione,270
diacetoxyscirpenol,0.1
testosterone,2800
5α-androst-16-en-4-one,0.034
oxandrolone,430
piperonyl butoxide,110000
methoprene,1.4
fluorescein,1.1e+11
phenolphthalein,1.1e+10
avobenzone,49000
ethinyl estradiol,1.2e+06
norethynodrel,7600
norethindrone,17000
methandrostenolone,4500
cinerin I,10
17-methyltestosterone,0.21
drostanolone,1200
curcumin,1.4e+16
bisphenol A diglycidyl ether,220000
mestranol,2200
prednisone,35000
norgestrel,13000
levonorgestrel,13000
pyrethrin I,0.22
cinerin II,11000
prednisolone,370
dronabinol,41
progesterone,150
hydrocortisone,170
calusterone,1600
oxymetholone,6600
resmethrin,76
pyrethrin II,450
methylprednisolone,270
medroxyprogesterone,760
dimethirimol,2.3e+10
rotenone,8.8e+07
phenothrin,1.5
spiromesifen,0.018
digoxigenin,430000
annatto,1.5e+11
acequinocyl,10
milk thistle extract,0.62
simvastatin,35000
calcitriol,32
paricalcitol,26
cholecalciferol,0.043
cholesterol,0.058
ergosterol,0.062
dihydrotachysterol,0.027
etoposide,5.8e+24
stigmasterol,0.038
pseudohypericin,5.5e+23
gossypol,4.3e+22
maslinic acid,280000
difenacoum,7e+06
nonoxynol 9,0.18
azadirachtin,3.5e+19
monensin,4.9e+18
gossyplure,0.066
capsanthin,340
digitoxin,7.6e+19
digoxin,2.1e+21
pyrethrum,15
punicalagin,5.5e+10
abamectin,7000
notoginsenoside R1,6.6e+25
triolein,0.01
tristearin,0.007
cyanamide,37000
methylhydrazine,3.3
methanamine,0.35
ethanamine,0.35
"1H-1,2,4-triazole",6.6
dicyandiamide,43000
ethylenimine,0.82
"1,2-dimethylhydrazine",1.8
"1,1-dimethylhydrazine",0.76
1-propanamine,0.5
2-propanamine,0.22
propanedinitrile,780
1-butanamine,0.56
2-butanamine,0.4
2-methyl-1-propanamine,0.72
2-methyl-2-propanamine,0.28
"1,2-diethylhydrazine",82
butanedinitrile,1500
2-methyl-1H-imidazole,2.2
4-methyl-1H-imidazole,2.4
1-pentanamine,0.4
3-methyl-1-butanamine,0.22
1-hexanamine,0.32
"1,6-hexanediamine",3100
4-methyl-2-hexanamine,0.23
