,Substance,Hcp
695,5-methyl-2-(1-methylethyl)-1-hexanol,0.48
696,"2,3,4,4-tetramethyl-2-hexanol",1
697,2-methyl-3-(1-methylethyl)-3-hexanol,0.96
698,"4-ethyl-2,2-dimethyl-3-hexanol",1.1
699,"2,2,3,4-tetramethyl-3-hexanol",0.96
700,"2,2,4,4-tetramethyl-3-hexanol",1
701,"2,2,5,5-tetramethyl-3-hexanol",1.7
702,"2,3,4,4-tetramethyl-3-hexanol",0.73
703,"3,4,4,5-tetramethyl-3-hexanol",0.7
704,"3,4,5,5-tetramethyl-3-hexanol",0.88
705,4-methyl-2-(2-methylpropyl)-1-,0.66
706,"2,4-dimethyl-3-propyl-3-pentanol",1.2
707,"2,4-dimethyl-3-(1-methylethyl)-3-",0.89
708,"3-ethyl-2,2,4-trimethyl-3-pentanol",0.99
709,"2,2,3,4,4-pentamethyl-3-pentanol",0.89
710,1-undecanol,0.14
711,1-dodecanol,0.44
712,"2,6,8-trimethyl-4-nonanol",0.1
713,1-tridecanol,0.076
714,1-tetradecanol,0.062
715,1-pentadecanol,0.22
716,1-hexadecanol,0.21
717,1-heptadecanol,0.045
718,1-octadecanol,0.012
719,1-nonadecanol,0.099
720,1-eicosanol,0.47
721,1-docosanol,0.0062
722,1-tetracosanol,0.0034
723,cyclopentanol,4.3
724,cyclohexanol,2.2
725,cycloheptanol,4.2
726,2-methylcyclohexanol,1.3
727,3-methylcyclohexanol,2.7
728,cyclododecanol,3.4
729,perhydrobisphenol a,9.7
730,"3-(5,5,6-trimethyl-2-",0.61
731,"4-(5,5,6-trimethylbicyclo[2.2.1]hept-2-",0.61
732,"4-((1R,2R,4R)-born-2-yl)cyclohexanol",0.61
733,2-propen-1-ol,2
734,2-propyn-1-ol,3.8
735,2-buten-1-ol,2.7
736,2-methyl-3-buten-2-ol,0.64
737,2-methyl-3-butyn-2-ol,2.5
738,3-methyl-1-pentyn-3-ol,0.99
739,1-octen-3-ol,0.13
740,bicyclo[2.2.1]heptan-2-ol,2.2
741,"3,7-dimethyl-1,6-octadien-3-ol",0.2
742,"tricyclo[3.3.1.1(3,7)]decan-1-ol",6
743,plinol,1.2
744,"3,7,11-trimethyl-2,6,10-dodecatrien-1-",0.039
745,dihydroabietyl alcohol,0.19
746,ethylestrenol,0.43
747,hydroxybenzene,0.28
748,1-hydroxy-2-methylbenzene,4.2
749,1-hydroxy-3-methylbenzene,7.9
750,1-hydroxy-4-methylbenzene,10
751,"1-hydroxy-2,3-dimethylbenzene",9.3
752,"1-hydroxy-2,4-dimethylbenzene",6.6
753,"1-hydroxy-2,5-dimethylbenzene",7.5
754,"1-hydroxy-2,6-dimethylbenzene",2.3
755,"1-hydroxy-3,4-dimethylbenzene",24
756,"1-hydroxy-3,5-dimethylbenzene",16
757,4-methylbenzenemethanol,9
758,"2,3,5-trimethylphenol",12
759,"2,4,6-trimethylphenol",3.2
760,"3,4,5-trimethylphenol",34
761,1-hydroxy-2-ethylbenzene,2.1
762,1-hydroxy-3-ethylbenzene,4.9
763,1-hydroxy-4-ethylbenzene,8.2
764,1-hydroxy-4-propylbenzene,1.7
765,2-(1-methylethyl)-phenol,2.6
766,2-phenylisopropanol,26
767,3-methyl-5-ethylphenol,2.9
768,"2,3,6-trimethylphenol",2.5
769,"2-(1,1-dimethylethyl)phenol",7
770,2-(1-methylpropyl)phenol,4.7
771,4-(1-methylpropyl)-phenol,3.6
772,4-tert-butylphenol,8.9
773,2-methyl-5-(1-methylethyl)-phenol,2.4
774,5-methyl-2-(1-methylethyl)-phenol,3
775,"2-(1,1-dimethylethyl)-4-methylphenol",6.6
776,"4-(1,1-dimethylpropyl)phenol",4.9
777,1-hydroxy-4-octylbenzene,1.3
778,1-hydroxy-4-nonylbenzene,0.29
779,"4-(1,1,3,3-tetramethylbutyl)-phenol",2.3
780,"2,6-bis(1,1-dimethylethyl)-4-",0.0029
781,"4-(3’,5’-dimethyl-3’-heptyl)-phenol(+)",2.9
782,"4-(3’,5’-dimethyl-3’-heptyl)-phenol(-)",3.3
783,1-naphthalenol,160
784,2-naphthalenol,110
785,o-hydroxybiphenyl,9.4
786,p-hydroxybiphenyl,0.16
787,"2,4,6-tris(1,1-dimethylethyl)phenol",1
788,dehydroabietol,8.4
789,"2,2’-methylenebis(6-(1,1-",1.2e+06
790,"2,4-dinonylphenol",0.15
791,"1,2-ethanediol",4000
792,"1,2-propanediol",760
793,"1,3-propanediol",9100
794,"1,2,3-propanetriol",580
795,"1,3-butanediol",7000
796,"2,3-butanediol",340
797,"2-methylpropane-1,3-diol",43
798,"1,2,3-butanetriol",3e+09
799,"1,2,4-butanetriol",3e+09
800,"1,2,3,4-butanetetrol",2e+14
801,"2(R),3(S)-1,2,3,4-butanetetrol",0.11
802,"1,2-pentanediol",1400
803,"1,4-pentanediol",23000
804,"1,5-pentanediol",70000
805,"2,3-pentanediol",30000
806,"2,4-pentanediol",3800
807,"2-(hydroxymethyl)-2-methyl-1,3-",900
808,"2,2-bis(hydroxymethyl)1,3-",7.3e+10
809,"1,2,3,4,5-pentanepentol",8.9e+18
810,"1,2-hexanediol",0.17
811,"1,6-hexanediol",45000
812,"2,5-hexanediol",14000
813,"2-methyl-1,3-pentanediol",30000
814,"2-methyl-2,4-pentanediol",25
815,"1,2,6-hexanetriol",2e+09
816,"1,2,3,4,5,6-hexahydroxy hexane",3.9e+23
817,"1,2,4,5-cyclohexanetetrol",3.9e+14
818,"1,2,3,4,5,6-hexahydroxycyclohexane",9.9e+23
819,"2,4-heptanediol",20000
820,"2,2-diethyl-1,3-propanediol",20000
821,"1,2,3,4,5-pentahydroxyheptane",4.9e+18
822,"1,2,3,4,6-pentahydroxyheptane",3.9e+18
823,"1,2,3,5,7-pentahydroxyheptane",4.9e+18
824,"1,2,3,4,5,6-hexahydroxyheptane",3e+23
825,4-methylcyclohexanemethanol,1.5
826,"1,4-cyclohexanedimethanol",150000
827,"2-ethyl-1,3-hexanediol",110
828,"2,2,4-trimethyl-1,3-pentanediol",14
829,"2,5-dimethyl-2,5-hexanediol",14
830,"1,2-dihydroxybenzene",8200
831,"1,3-dihydroxybenzene",100000
832,"1,4-dihydroxybenzene",260000
833,"1,2,3-benzenetriol",63000
834,hexylresorcinol,38000
835,"2,6-bis(1,1-dimethylethyl)phenol",3.1
836,4-(1-methyl-1-phenylethyl)phenol,110
837,"2,2’,3,3’-tetrahydro-3,3,3’,3’-",0.15
838,"4,4’-(3,3,5-trimethylcyclohexane-1,1-",440000
839,"3,3,3’,3’-tetramethyl-1,1’-",1.4e+14
840,"9,9-bis(4-hydroxyphenyl)fluorene",8.4e+08
841,methyl hydroperoxide,2.9
842,ethyl hydroperoxide,3.3
843,hydroxymethyl hydroperoxide,17000
844,tert-butyl hydroperoxide,0.62
845,di-tert-butylperoxide,0.00082
846,1-methyl-1-phenylethylhydroperoxide,210
847,dicumyl peroxide,0.22
848,methylperoxy radical,0.15
849,hydroxymethylperoxy radical,790
850,methanal,32
851,ethanal,0.13
852,propanal,0.099
853,butanal,0.095
854,2-methylpropanal,0.0059
855,pentanal,0.068
856,2-methylbutanal,0.023
857,3-methylbutanal,0.021
858,hexanal,0.032
859,2-methylpentanal,0.027
860,heptanal,0.033
861,octanal,0.21
862,nonanal,0.01
863,2-ethylhexanal,0.012
864,"3,5,5-trimethylhexanal",0.02
865,decanal,0.0043
866,propenal,0.072
867,2-methylpropenal,0.048
868,2-butenal,0.097
869,2-hexenal,0.062
870,2-heptenal,0.05
871,2-octenal,0.041
872,"3,7-dimethyl-6-octenal",0.025
873,"3,7-dimethyl-2,6-octadienal",0.23
874,benzaldehyde,0.38
875,phenylacetaldehyde,0.1
876,2-methylbenzaldehyde,0.33
877,3-methylbenzaldehyde,0.33
878,4-methylbenzaldehyde,0.58
879,2-hydroxybenzaldehyde,16
880,3-hydroxybenzaldehyde,3900
881,4-hydroxybenzaldehyde,19000
882,3-phenyl-2-propenal,2.8
883,ethanedial,4100
884,pentanedial,300
885,propanone,0.27
886,propanone-2-13C,0.31
887,1-hydroxypropanone,77
888,butanone,0.18
889,"butanone-1,1,1,3,3-d5",0.37
890,2-pentanone,0.16
891,3-pentanone,0.16
892,1-cyclopropyl-ethanone,0.95
893,3-methyl-2-butanone,0.087
894,cyclopentanone,0.82
895,2-hexanone,0.15
896,"2-hexanone-1,1,1,3,3-d5",0.17
897,3-methyl-2-pentanone,0.073
898,2-methyl-3-pentanone,0.065
899,"3,3-dimethyl-2-butanone",0.45
900,cyclohexanone,0.82
901,2-heptanone,0.059
902,3-heptanone,0.11
903,4-heptanone,0.41
904,3-methyl-2-hexanone,0.032
905,4-methyl-2-hexanone,0.033
906,5-methyl-2-hexanone,0.062
907,2-methyl-3-hexanone,0.041
908,4-methyl-3-hexanone,0.037
909,5-methyl-3-hexanone,0.037
910,3-ethyl-2-pentanone,0.034
911,"3,3-dimethyl-2-pentanone",0.045
912,"3,4-dimethyl-2-pentanone",0.043
913,"4,4-dimethyl-2-pentanone",0.055
914,"2,2-dimethyl-3-pentanone",0.055
915,"2,4-dimethyl-3-pentanone",0.41
916,cycloheptanone,0.7
917,dicyclopropylmethanone,3.1
918,2-octanone,0.052
919,3-octanone,0.076
920,4-octanone,0.036
921,6-methyl-3-heptanone,0.037
922,cyclohexyl methyl ketone,0.29
923,2-nonanone,0.41
924,5-nonanone,0.035
925,"2,6-dimethyl-4-heptanone",0.082
926,"2,2,4,4-tetramethyl-3-pentanone",0.023
927,2-decanone,0.021
928,2-undecanone,0.016
929,6-undecanone,0.015
930,2-dodecanone,0.0021
931,2-tridecanone,0.67
932,2-tetradecanone,0.00021
933,2-pentadecanone,5.4e-05
934,2-hexadecanone,1.7e-05
935,menthone,0.057
936,"tricyclo[3.3.1.1(3,7)]decanone",1.4
937,3-buten-2-one,0.26
938,4-methyl-3-penten-2-one,0.27
939,1-phenylethanone,1.1
940,1-phenylethanone-d5,2.3
941,phenyl ethyl ketone,0.076
942,4-methoxy-4-methyl-2-pentanone,5.1
943,4-methoxyphenyl methyl ketone,0.68
944,2-methyl-5-(1-methylethenyl)-2-,0.49
945,benzophenone,17
946,"3,5,5-trimethyl-2-cyclohexen-1-one",1.5
947,bicyclo[2.2.1]heptan-2-one,0.43
948,4-methyl-1-(1-methylethyl)-,0.1
949,isopropyl phenyl ketone,0.57
950,carvone,0.13
951,thujone,0.62
952,9H-fluoren-9-one,15
953,anthrone,12
954,"1,2,3,5,6,7-hexahydro-1,1,2,3,3-",0.07
955,"2,4,6-trimethylbenzophenone",3.8
956,"1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-",0.025
957,"1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-",0.31
958,celestolide,0.31
959,7H-benz[de]anthracen-7-one,150
960,"1-[2,3-dihydro-1,1,2,6-tetramethyl-",0.23
961,tonalid,0.07
962,"2,3-butanedione",0.73
963,"2,4-pentanedione",1.7
964,"1,2-naphthalenedione",2300
965,"1,4-naphthalenedione",5000
966,menadione,0.32
967,"2,6-di-tert-butyl-p-benzoquinone",620
968,"9,10-phenanthrenedione",3700
969,dibenzoylmethane,7500
970,"2-ethyl-9,10-anthracenedione",2100
971,"9,10-anthracenedione",420
972,methanoic acid,88
973,ethanoic acid,40
974,propanoic acid,15
975,butanoic acid,9.7
976,2-methylpropanoic acid,9.6
977,pentanoic acid,23
978,2-methylbutanoic acid,16
979,3-methylbutanoic acid,11
980,"2,2-dimethylpropanoic acid",3.5
981,hexanoic acid,13
982,2-methylpentanoic acid,11
983,2-ethylbutanoic acid,9
984,heptanoic acid,9.6
985,"4,4-dimethylpentanoic acid",4.3
986,2-ethyl-2-methylbutanoic acid,4.3
987,octanoic acid,0.15
988,2-ethylhexanoic acid,3.5
989,nonanoic acid,3.8
990,decanoic acid,6.5
991,"3,3,5,5-tetramethylhexanoic acid",1.9
992,undecanoic acid,5.8
993,dodecanoic acid,4.5
994,octadecanoic acid,250000
995,propenoic acid,31
996,2-methyl-2-propenoic acid,25
997,benzenecarboxylic acid,290
998,sorbic acid,0.2
999,shikimic acid,3.7e+08
1000,4-hydroxybenzoic acid,1.4e+06
1001,"3,4,5-trihydroxybenzoic acid",1.2e+14
1002,3-methylbenzoic acid,6.6
1003,2-methylbenzoic acid,82
1004,4-methylbenzoic acid,82
1005,2-hydroxy-benzoic acid,800
1006,benzeneethanoic acid,150
1007,phthalic anhydride,1600
1008,"1,2-benzenedicarboxylic acid",0.49
1009,terephthalic acid,2.5e+07
1010,isophthalic acid,4.5e+06
1011,dehydroacetic acid,29
1012,caffeic acid,7e+10
1013,4-methylphthalic anhydride,1.4
1014,p-tert-butylbenzoic acid,35
1015,"benzoic acid, anhydride",7
1016,pyromellitic dianhydride,1300
1017,rosmarinic acid,3.7e+21
1018,ethanedioic acid,0.61
1019,propanedioic acid,3.8e+08
1020,butanedioic acid,2.7e+07
1021,pentanedioic acid,1.9e+07
1022,hexanedioic acid,2.1e+06
1023,heptanedioic acid,8.1e+07
1024,octanedioic acid,7.7e+07
1025,nonanedioic acid,8.9e+07
1026,decanedioic acid,7.6e+07
1027,cis-butenedioic acid,0.14
1028,methanoic peroxyacid,29
1029,ethanoic peroxyacid,8.3
1030,"1,3-dioxolan-2-one",0.036
1031,"carbonic acid, dimethyl ester",0.016
1032,dimethyl dicarbonate,0.022
1033,methyl methanoate,0.041
1034,ethyl methanoate,0.34
1035,propyl methanoate,0.026
1036,isopropyl methanoate,0.012
1037,"methanoic acid, pentyl ester",0.013
1038,isopentyl methanoate,0.015
1039,"methanoic acid, hexyl ester",0.011
1040,methyl ethanoate,0.81
1041,ethyl ethanoate,0.059
1042,ethyl ethanoate-1-13C,0.071
1043,propyl ethanoate,0.045
1044,"ethanoic acid, 2-propenyl ester",0.076
1045,isopropyl ethanoate,0.035
1046,"ethanol, 2-methoxy-, acetate",9
1047,glycerol monoacetate,24000
1048,"1-propen-2-ol, acetate",0.0055
1049,butyl ethanoate,0.024
1050,sec-butyl acetate,0.023
1051,"acetic acid, 1,1-dimethylethyl ester",0.024
1052,pentyl ethanoate,0.034
1053,"1,2-propanediol, diacetate",70
1054,"2-pentanol, acetate",0.012
1055,isopentyl ethanoate,0.026
1056,hexyl ethanoate,0.015
1057,4-methyl-2-pentyl ethanoate,0.017
1058,"acetic acid, cyclohexyl ester",0.82
1059,"ethanol, 2-(2-ethoxyethoxy)-, acetate",430
1060,"acetic acid, phenyl ester",0.15
1061,"acetic acid, phenylmethyl ester",0.9
1062,2-ethylhexyl ethanoate,0.011
1063,"ethanol, 2,2’-[1,2-",3.7e+07
1064,1-methoxy-2-propyl ethanoate,0.99
1065,2-ethoxyethyl ethanoate,1.5
1066,2-butoxyethyl ethanoate,1.8
1067,"2-(2-butoxyethoxy)-ethanol, ethanoate",28
1068,"1,2-ethanediol, diethanoate",120
1069,geranyl acetate,0.0041
1070,linalyl acetate,0.58
1071,"cyclohexanol, 5-methyl-2-(1-",0.012
1072,methyl propanoate,0.057
1073,methyl 2-hydroxypropanoate,1200
1074,ethyl propanoate,0.041
1075,propyl propanoate,0.025
1076,isopropyl propanoate,0.017
1077,pentyl propanoate,0.14
1078,"propanoic acid, 2-hydroxy-, ethyl ester",17
1079,"propanoic acid, 2-phenylethyl ester",0.39
1080,methyl butanoate,0.037
1081,ethyl butanoate,0.029
1082,propyl butanoate,0.016
1083,"butanoic acid, 2-methylpropyl ester",0.013
1084,"2-methylpropanoic acid, methyl ester",0.33
1085,"2-methylpropanoic acid, ethyl ester",0.02
1086,"3-oxobutanoic acid, methyl ester",37
1087,"3-oxobutanoic acid, ethyl ester",11
1088,methyl pentanoate,0.031
1089,ethyl pentanoate,0.028
1090,"2-methylbutanoic acid, ethyl ester",0.0089
1091,"3-methylbutanoic acid, ethyl ester",0.016
1092,"2,2-dimethylpropanoic acid, methyl es-",0.023
1093,methyl hexanoate,0.19
1094,ethyl hexanoate,0.014
1095,"2-ethylbutanoic acid, 1,2-",990000
1096,ethyl heptanoate,0.02
1097,methyl octanoate,0.0099
1098,ethyl octanoate,0.011
1099,"octadecanoic acid, 2-methylpropyl ester",0.00026
1100,"octadecanoic acid, butyl ester",0.00026
1101,methyl nonanoate,0.007
1102,ethyl nonanoate,0.013
1103,"nonanedioic acid, bis(2-ethylhexyl) es-",0.82
1104,methyl decanoate,0.011
1105,ethyl decanoate,0.014
1106,methyl dodecanoate,0.0083
1107,ethyl dodecanoate,0.0077
1108,propyl dodecanoate,0.0077
1109,butyl dodecanoate,0.0071
1110,2-ethylhexyl dodecanoate,0.003
1111,methyl tetradecanoate,0.005
1112,methyl hexadecanoate,0.0029
1113,isopropyl palmitate,0.00021
1114,ascorbic palmitate,0.7
1115,methyl octadecanoate,0.0017
1116,methyl eicosanoate,0.001
1117,methyl docosanoate,0.00059
1118,"cyclopropanecarboxylic acid, methyl",0.41
1119,"cyclohexanecarboxylic acid, methyl es-",0.11
1120,oxacyclohexadecan-2-one,0.004
1121,2-tert-butylcyclohexyl acetate,0.99
1122,"2-ethyl-3-oxo-butanoic acid, ethyl ester",3.4
1123,"carbonic acid, diethyl ester",0.11
1124,"2-hydroxypropanoic acid, butyl ester",4.9
1125,methyl propenoate,0.049
1126,ethyl propenoate,0.029
1127,"2-propenoic acid, butyl ester",0.021
1128,"2-propenoic acid, 2-methylpropyl ester",0.016
1129,"2-propenoic acid, 2-ethylhexyl ester",0.023
1130,"2-propenoic acid, 2-hydroxyethyl ester",1200
1131,"2-methyl-2-propenoic acid, ethyl ester",0.017
1132,"2-methyl-2-propenoic acid, 2-propenyl",0.024
1133,"2-methyl-2-propenoic acid, oxiranyl-",0.32
1134,"2-methyl-2-propenoic acid, propyl ester",0.018
1135,"2-methyl-2-propenoic acid, butyl ester",0.02
1136,"2-methyl-2-propenoic acid, 2-",0.019
1137,"2-methyl-2-propenoic acid, 1,2-",5.8e+06
1138,methyl methacrylate,0.043
1139,ethenyl ethanoate,0.019
1140,3-(4-methoxyphenyl)-2-propenoic,1.2
1141,methyl benzoate,0.3
1142,ethyl benzoate,0.097
1143,2-hydroxybenzoic acid methyl ester,11
1144,"benzoic acid, 4-methyl-, methyl ester",0.26
1145,"1,4-benzenedicarboxylic acid, dimethyl",0.076
1146,butyl benzoate,0.12
1147,diphenyl carbonate,0.12
1148,benzyl benzoate,1.8
1149,dimethyl phthalate,49
1150,"1,4-cyclohexanedicarboxylic acid,",100
1151,"1,3-benzenedicarboxylic acid, dimethyl",160
1152,diethyl phthalate,16
1153,dipropyl phthalate,18
1154,diallyl phthalate,35
1155,bis(2-methoxyethyl) phthalate,23
1156,dibutyl phthalate,9.3
1157,diisobutyl phthalate,3.5
1158,"1,2-benzenedicarboxylic acid, butyl cy-",10
1159,butyl glycolyl butyl phthalate,0.47
1160,diamyl phthalate,11
1161,butyl benzyl phthalate,100
1162,dihexyl phthalate,0.38
1163,butyl 2-ethylhexyl phthalate,2.1
1164,diphenyl terephthalate,320
1165,dicyclohexyl phthalate,99
1166,bis(2-butoxyethyl) phthalate,4.9e+06
1167,diheptyl phthalate,0.59
1168,dioctyl phthalate,3.8
1169,diisooctyl phthalate,0.32
1170,decyl hexyl phthalate,160
1171,bis(2-ethylhexyl)-phthalate,37
1172,bis(2-ethylhexyl) terephthalate,0.99
1173,dinonyl phthalate,0.11
1174,diisononyl phthalate,6.6
1175,didecyl phthalate,0.046
1176,diisodecyl phthalate,9
1177,diundecyl phthalate,33
1178,ditridecyl phthalate,0.0036
1179,"ethanedioic acid, dimethyl ester",6.9
1180,"propanedioic acid, dimethyl ester",38
1181,"propanedioic acid, diethyl ester",3.9
1182,"butanedioic acid, dimethyl ester",30
1183,diethyl succinate,4
1184,diethyl pimelate,1.5
1185,"1,3-benzenedicarboxylic acid, diethyl",25
1186,"2,6-naphthalenedicarboxylic acid,",450
1187,di-(2-ethylhexyl)-adipate,23
1188,"peroxybenzoic acid, tert-butyl ester",0.047
1189,"neodecaneperoxoic acid, 1,1-",0.99
1190,"neoheptaneperoxoic acid, 1-methyl-1-",0.038
1191,hydroxypropyl acrylate,5800
1192,2-hydroxyethyl methacrylate,2100
1193,2-hydroxypropyl acrylate,1600
1194,dimethyl fumarate,14
1195,"hexanedioic acid, dimethyl ester",10
1196,methyl 4-hydroxybenzoate,4500
1197,diethyl fumarate,410
1198,diethyl adipate,2.7
1199,propyl 4-hydroxybenzoate,1500
1200,diethylene glycol diacrylate,10000
1201,methyl jasmonate,700
1202,cinoxate,1900
1203,trimethylolpropane triacrylate,16000
1204,benzyl cinnamate,30
1205,"2,2,4-trimethyl-1,3-pentanediol di-",0.9
1206,"nonanedioic acid, dibutyl ester",0.82
1207,isopropyl myristate,0.00042
1208,"decanedioic acid, dibutyl ester",210
1209,diethylene glycol dibenzoate,3.3e+06
1210,"12-hydroxy-9-octadecenoic acid,",67
1211,"chrysanthemumic acid 2,4-",0.13
1212,tributyl acetylcitrate,0.26
1213,"hexanedioic acid, dioctyl ester",23
1214,diisooctyl adipate,0.19
1215,"hexanedioic acid, bis[2-(2-",3.2e+07
1216,"1,2-benzenedicarboxylic acid, decyl",0.47
1217,"phthalic acid, isodecyl octyl ester",0.47
1218,diisononyl hexahydrophthalate,0.14
1219,"decanedioic acid, bis(2-ethylhexyl) es-",0.12
1220,glycerol tricaprylate,390
1221,tris(2-ethylhexyl) trimellitate,22
1222,emamectin benzoate,5800
1223,dimethyl ether,0.0017
1224,ethyl methyl ether,0.014
1225,diethyl ether,0.005
1226,diethyl ether-d10,0.013
1227,methyl propyl ether,0.0067
1228,methyl 2-propyl ether,0.012
1229,divinyl ether,0.54
1230,methyl butyl ether,0.0044
1231,2-methoxybutane,0.0062
1232,methyl tert-butyl ether,0.017
1233,ethyl propyl ether,0.0086
1234,1-ethoxy-butane,0.0064
1235,ethyl tert-butyl ether,0.0063
1236,2-methoxy-2-methylbutane,0.86
1237,dipropyl ether,0.003
1238,diisopropyl ether,0.0039
1239,2-ethyl-2-ethoxypropane,0.0024
1240,dibutyl ether,0.22
1241,diisobutyl ether,0.0037
1242,"1,1’-oxybispentane",0.0027
1243,"1,1’-oxybis(3-methylbutane)",0.0066
1244,"1,1’-oxybishexane",0.0018
1245,"1-ethoxy-3,7-dimethyloctane",0.00067
1246,methoxycyclohexane,0.031
1247,methyl cedryl ether,0.0025
1248,dimethoxymethane,0.061
1249,trimethoxymethane,0.69
1250,"1,1-diethoxyethane",0.1
1251,"1,2-diethoxyethane",0.16
1252,"1,1,1-trimethoxyethane",0.64
1253,"1,2-dimethoxyethane",1.4
1254,3-oxa-1-hexanol,20
1255,3-oxa-1-heptanol,3.5
1256,1-methoxy-2-propanol,4.8
1257,4-methyl-3-oxa-1-pentanol,4.8
1258,"1,2-dibutoxyethane",0.99
1259,"3,6-dioxa-1-decanol",1400
1260,"1,1’-[oxybis(2,1-",3.5
1261,methoxyethene,0.0015
1262,1-(ethenyloxy)butane,0.45
1263,vinylisobutyl ether,0.00019
1264,methoxybenzene,0.029
1265,ethoxybenzene,0.017
1266,2-phenoxyethanol,200
1267,2-(phenylmethoxy)-ethanol,150
1268,"1,2,3-trimethoxybenzene",3.6
1269,1-methoxy-4-(1-propenyl)-benzene,0.099
1270,2-methoxy-4-(2-propenyl)-phenol,5.1
1271,"1,2-dimethoxy-4-(2-propenyl)-benzene",1.8
1272,diphenyl ether,0.035
1273,1-dodecyl-4-phenoxybenzene,0.0034
1274,"2,2,4-trimethyl-4-(4-(4-",0.0013
1275,di-tert-butyl sec-butylidene diperoxide,0.012
1276,"peroxide, 1,1-dimethylethyl 1-methyl-",0.014
1277,"di-tert-butyl 1,1,4,4-",0.0039
1278,"1,4-bis(1-tert-butylperoxy-1-methyl-",0.1
1279,2-furanmethanol,120
1280,tetrahydropyran-2-methanol,90
1281,oxirane,0.058
1282,"1,2-epoxypropane",0.14
1283,phenyloxirane,0.62
1284,oxacyclopentadiene,0.0018
1285,dibenzofuran,0.047
1286,2-furancarboxaldehyde,2.6
1287,tetrahydrofuran,0.22
1288,tetrahydrofuran-d8,0.23
1289,2-methyltetrahydrofuran,0.0015
1290,"2,5-dimethyltetrahydrofuran",0.055
1291,tetrahydropyran,0.1
1292,"1,3-dioxolane",0.4
1293,"1,3-dioxane",2.1
1294,"1,4-dioxane",2.3
1295,"1,4-dioxane-d8",2.8
1296,"4-methyl-1,3-dioxolan-2-one",290
1297,"1,3,3-trimethyl-2-",0.059
1298,"dibenzo[b,e][1,4]dioxin",0.09
1299,piperonal,18
1300,paraldehyde,0.25
1301,benzofuran,0.019
1302,"1,5,5,9-tetramethyl-13-",0.2
1303,"1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-",0.076
1304,2-(4-methyl-3-cyclohexen-1-yl)-2-,4.4
1305,"1,2-dimethyl-3-(1-methylethenyl)-",0.4
1306,1-methyl-4-(1-methylethyl)-7-,0.039
1307,"1,7,7-trimethyl-bicyclo[2.2.1]heptan-2-",0.12
1308,"2,7,7-trimethyl-3-",0.23
1309,5-methyl-2-(1-methylethylidene)-,0.28
1310,"exo-2-[(1,7,7-",1
1311,"4-(2,6,6-trimethyl-1-cyclohexenyl)-3-",1.2
1312,oxoethanoic acid,110
1313,hydroxyethanoic acid,280
1314,2-hydroxyethanal,410
1315,propanonal,320
1316,2-oxopropanoic acid,0.31
1317,3-oxopropanoic acid,69
1318,2-hydroxypropanoic acid,120
1319,glycidaldehyde,19
1320,trimethylene oxide,0.39
1321,"2,3-dihydroxypropanal",2e+08
1322,dihydroxyacetone,1.8e+06
1323,2-methoxyethanol,4.4
1324,4-oxobutanoic acid,49
1325,"3-oxapentane-1,5-diol",0.49
1326,hydroxybutanedioic acid,2.7e+08
1327,2-ethoxyethanol,8.9
1328,2-methoxy-1-propanol,550
1329,"1,1-dimethoxyethane",0.15
1330,4-methylene-2-oxetanone,0.016
1331,2(5H)-furanone,1
1332,"2,2’-bioxirane",280
1333,butyrolactone,190
1334,ethyloxirane,0.055
1335,"2,3-epoxy-6-oxo-heptenal",2500
1336,3-hydroxy-2-butanone,0.57
1337,2-(vinyloxy)ethanol,39
1338,2-methyloxetane,0.12
1339,5-oxopentanoic acid,39
1340,2-oxopentanedioic acid,9.9e+06
1341,tetrahydro-2-furanmethanol,2400
1342,xylose,8200
1343,2-(2-methoxyethoxy)ethanol,620000
1344,"3,6-dioxaoctane-1,8-diol",310000
1345,2-oxepanone,0.055
1346,glycidyl ether,760
1347,4-hydroxy-4-methyl-2-pentanone,2300
1348,1-propoxy-2-propanol,0.29
1349,2-(2-ethoxyethoxy)ethanol,450
1350,"2,5,8-trioxanonane",19
1351,oxydipropanol,1800
1352,p-benzoquinone,0.021
1353,5-hydroxymethylfurfural,18000
1354,5-hydroxy-2-(hydroxymethyl)-4H-,41
1355,"1-(1,1-dimethylethoxy)-2-propanol",2.1
1356,2-[2-(2-methoxyethoxy)ethoxy]ethanol,2.8e+08
1357,2-methylp-benzoquinone,0.52
1358,patulin,90000
1359,1-hydroxy-3-methoxybenzene,170
1360,mequinol,19
1361,1-hydroxy-2-methoxybenzene,7.7
1362,"1,4-dimethoxybenzene",0.0028
1363,4-methyl-2-methoxyphenol,7.7
1364,"1,3-dimethoxy-2-hydroxybenzene",37
1365,"hexahydro-1,3-isobenzofurandione",0.47
1366,1-methoxy-4-methylbenzene,0.21
1367,dimethoxane,80
1368,metaldehyde,0.19
1369,diethyl carbitol,90
1370,2-[2-(2-ethoxyethoxy)ethoxy]ethanol,2.1e+08
1371,tetraethylene glycol,1.8e+13
1372,vanillin,4700
1373,ethylparaben,2100
1374,ethyl vanillin,12000
1375,1-phenoxypropan-2-ol,340
1376,triacetin,820
1377,tripropylene glycol,3e+09
1378,coumarin,100
1379,"5-(1-propenyl)-1,3-benzodioxole",0.27
1380,safrole,1.1
